"","C1","C2","C3","C4","C5","D2.1","D2.2","D2.3","D2.4","D2.5","D4.1","D4.2","D4.3","D4.4","D4.5","D7.2","D7.3","D7.4","D7.5","D14.1","D14.2","D14.3","D14.4","D14.5"
"ENSMUSG00000000028",7.71350839746111,7.75516144599628,7.73195269019216,7.68682630092772,7.85826672823018,9.15712392190524,9.06426864630956,9.29670469545623,9.50767513570078,9.1977702290945,8.56596484590551,8.33485698384633,9.02991112952436,8.50904604127579,8.00270524584683,7.47950027001565,7.56725443384908,7.55671937102621,7.71202138550909,7.96595870387661,7.56008056116907,7.40768587663156,7.78379183395301,7.50998727924289
"ENSMUSG00000000037",6.30155585117331,6.22683802603635,5.88838212661187,5.9718376657118,5.91058223742013,6.44472028541949,6.10367596387219,6.10946572350836,6.17114888726399,5.98742173159137,6.22497256195085,7.04525637805057,6.95016732696812,7.05876855227485,6.27855102241965,6.4720955156913,5.95132667379287,5.74435960748466,6.15447866514706,5.78205265738087,5.57330466166989,5.86485306900967,5.44807267549504,5.38741123477002
"ENSMUSG00000000058",14.0261939341077,13.9666278240682,13.8682121567724,13.8211170473245,13.8865124283221,13.2502221512008,13.3380316857935,13.4887362856786,13.0604217533999,13.3414361322191,12.6330993166327,12.1437005850996,12.9131988503773,12.1594417435308,13.3980050044272,13.8065394927192,13.806575702632,13.7927782519249,13.7085961388602,13.7716474116039,13.903995932823,13.5133150864988,13.8689727074181,14.0105123503594
"ENSMUSG00000000078",13.0909663025325,13.1939416668346,13.2461627395844,13.0078557754759,13.3233304801246,13.4728835637707,13.6780011459912,13.6489880987596,13.9574011577588,13.6500224009045,13.1466244529966,12.9493206865255,13.0242796549304,12.7685743305028,12.8869412999268,13.4386282316079,13.2420374037489,13.2239740783567,12.9956835094951,13.9325697228976,14.6653012337801,14.972146354868,14.8336820194169,13.4507302400157
"ENSMUSG00000000120",7.10471768257903,6.83458352799863,7.15329918909109,7.54112787086113,6.7744775358926,7.08726930289561,7.81459925312036,6.57397243797662,6.75365549708401,6.38418392977396,7.51373779066444,7.473134159706,7.34176933625077,7.25560345118555,7.14337447297486,6.93241526605859,7.11450098410025,7.50472675141285,7.61673963182804,5.78205265738087,6.15870913480502,6.70307973423815,5.67525303744613,6.14377076897618
"ENSMUSG00000000157",6.10470920504699,6.07168165363902,5.99497546166601,6.05605126863376,6.20661608735503,6.18148080017885,6.51325321698988,6.32262126113637,6.63660050893138,6.79136822393744,6.37217183393508,6.581892108581,7.44777967468042,6.64653250355195,6.36223731943264,6.28350876993227,5.95132667379287,5.86988874856656,6.39400660242238,6.82864209771943,7.99771395636901,8.19289431662895,8.03344803192979,6.91152698637914
"ENSMUSG00000000167",8.26853399310065,8.08242222019159,8.39365269810059,8.38025431460425,7.91126788801208,8.04035236198368,7.944758955066,7.96784465320312,7.71984913853663,8.07828608799963,8.88691217355989,9.74842880510379,8.88995141550586,9.51697686226166,8.65865516480235,8.40850431315081,8.55673956687503,8.83308360589718,8.90557392294355,8.86938995552435,8.90614257205774,8.46091671554553,8.53601708586365,8.60599168909883
"ENSMUSG00000000182",4.76377188959797,4.76377188959797,5.13691126633519,4.76377188959797,5.41966239476977,5.91785821783921,5.68796337059215,6.05578297302239,7.66425750147162,6.49561104000793,4.76377188959797,5.12020285294435,4.76377188959797,4.76377188959797,4.76377188959797,4.76377188959797,4.76377188959797,5.14050351190449,4.76377188959797,4.76377188959797,4.76377188959797,4.76377188959797,4.76377188959797,4.76377188959797
"ENSMUSG00000000184",13.0704104320086,13.1374910468049,12.9979031478937,12.7778890161282,13.2641068453908,13.0436689643002,13.1559229851652,12.8789333618524,13.3706853486252,13.2008500709475,12.1447724703529,12.3089585843745,12.8382486005652,11.8675361275712,12.5746843324425,12.7902798275484,12.7818240722527,13.0067028709654,12.559041681615,12.3348753648181,11.8348953358522,11.3014002297219,11.8753575857933,12.4855844263058
"ENSMUSG00000000202",5.48612461654206,5.26099526896076,5.29002037016725,5.75009278426525,5.47122207850475,7.02506317086102,6.2266765077792,6.73719671217692,6.90416000982393,6.65225381008168,5.88306142752129,6.12010809601372,6.30631396347105,6.57989541633376,6.06340429102673,5.76450475457401,5.42688961402947,5.8093278502384,5.84479447415054,5.65004628005441,5.62105169841259,5.93705343802918,5.6246589440093,5.44589452808782
"ENSMUSG00000000204",9.17515696786914,8.32353069331275,8.37378746942003,8.08404277938908,8.06445197982423,12.5907640805744,13.1484445574646,13.0575448636837,14.2550483575355,13.8593192553221,10.7114385116689,10.9029613682766,10.9107451720411,11.8719613410652,9.53170972873107,10.0529561691828,9.56828796283071,8.65709120170542,9.59161526071795,7.94521660124569,9.32031138400937,11.1805036350665,10.6501547996185,8.7378440788103
"ENSMUSG00000000244",8.59979148848538,8.83553374832532,8.79061709618759,8.62815342000465,8.40805553736841,8.72099171947439,8.95234797681294,8.83273176461966,8.64134674348163,8.532979653539,9.64862895888847,9.48004731633646,9.19753032489808,9.60284204268548,9.12780018095356,8.90502516675622,9.28682873393648,8.76650052269805,9.04083954930271,7.49763644532173,7.60227261832357,7.40768587663156,7.93288994124593,7.8358467502854
"ENSMUSG00000000266",11.9416615079716,11.8379352007113,11.9292810933459,11.6067940577637,12.0999669458193,11.1527472712422,11.1596126699091,11.229065018743,11.1314987903487,11.2187816922565,10.7347448731059,10.3233421624792,11.0312264947311,10.6223627915069,11.405249764671,11.873639808795,11.707645042713,11.9266356611005,11.7981997052745,11.5573836990337,11.5449160645944,11.424197211537,11.3770053293249,11.767323610086
"ENSMUSG00000000282",11.1940131795629,10.8656966040444,10.8334834826077,11.0483870413078,11.0588740654908,11.4389618725314,11.4611240229869,11.2297010557079,11.3131277852615,11.2498402720232,11.0782635215317,10.7981335422145,11.1308338827725,11.0248607899554,11.0467868295239,11.0648899814283,11.0195985250787,11.3616995789102,10.9791412320049,11.7655715104401,12.087549291801,12.6186591594762,11.9061166900462,11.5080605480002
"ENSMUSG00000000290",12.6566978573353,12.72516654567,12.9192492468995,12.8415427656022,13.1381304285902,13.996055549976,14.0654867417224,13.8449688971201,14.4759717794678,14.1679165082514,14.3094703646821,13.7206810556474,14.5134138476792,13.8304514209357,13.556407641655,12.8809788355767,13.3081980547148,13.4051052102535,12.9664985543439,12.5163164413039,12.9755709475336,12.7456947147571,12.0962233589229,12.276893738151
"ENSMUSG00000000317",10.6911623990353,10.944171861683,11.3400775859391,11.0059764691448,11.6789359467571,10.9430320698329,11.6219365720544,11.5165102716034,11.8908543884899,11.8809493042046,9.49111831413743,10.0296907094747,10.3348496292491,9.58528932136689,10.0915423854117,11.1919888963343,10.7833826220213,10.5822338808572,10.4404186743516,9.55374386778535,8.63340601985026,7.23125623404385,8.59792469378322,9.86914841848845
"ENSMUSG00000000318",8.27670759469659,7.8547287103817,8.04681449540591,8.27126567415412,7.93987194957248,7.80914134794569,8.588081259973,8.03414781152334,8.06338261460798,7.8783371988557,9.093833299704,9.45109690873173,8.96745315541289,9.25350777354902,8.45343004726398,8.86032808341457,8.54166278899343,8.80621816869321,8.77185892396002,7.76724151664653,7.72927270425711,7.83192140155317,7.57904618003344,7.23348325650162
"ENSMUSG00000000325",11.1091164443676,11.0915244598725,11.0190090078465,10.9453344554806,11.09260646905,10.1086189044626,10.1226775130295,10.3354387449236,9.58756922965245,10.0328650099192,10.4776573727597,10.5837251503463,10.4282379162187,10.6675040367154,10.7844869264564,11.1877876227211,10.9922748862469,10.7954070991895,11.1888964478261,10.9231056032154,11.098800148758,11.1233375439276,10.6590748822391,10.9256695769178
"ENSMUSG00000000339",10.4869160670326,10.4284083672795,10.6019695081475,10.5615621800041,10.394185643512,10.7196754362684,10.6272774249124,10.6927776981587,10.7328900652162,10.6687105912694,10.6345881898027,10.6269537387866,10.6970176266745,10.8068380124504,10.5480636085192,10.3757744224408,10.4782652427504,10.4936340400344,10.4703715843737,11.2373895033786,11.5051528156986,12.1610531354758,11.4831387384807,10.8994232629602
